instance01 1 157.28
instance01 2 157.234
instance01 3 157.285
instance01 4 157.219
instance01 5 157.273
instance01 6 157.337
instance02 1 36.8704
instance02 2 37.4825
instance02 3 37.4718
instance02 4 37.3911
instance02 5 36.9649
instance02 6 37.4346
instance03 1 34.3004
instance03 2 35.4738
instance03 3 34.8382
instance03 4 35.568
instance03 5 35.5262
instance03 6 35.0418
instance04 1 8.27638
instance04 2 8.72271
instance04 3 8.48807
instance04 4 8.78555
instance04 5 8.3789
instance04 6 8.60321
instance05 1 13.8944
instance05 2 14.2438
instance05 3 13.8149
instance05 4 13.9181
instance05 5 14.0421
instance05 6 14.5848
instance06 1 3.53752
instance06 2 3.744
instance06 3 3.40995
instance06 4 3.60881
instance06 5 3.7307
instance06 6 3.73512
instance07 1 10.7566
instance07 2 10.6869
instance07 3 10.7311
instance07 4 10.8686
instance07 5 10.774
instance07 6 10.7984
instance08 1 25.9473
instance08 2 25.8519
instance08 3 25.9258
instance08 4 26.0593
instance08 5 25.2386
instance08 6 26.0342
instance01 1 157.178
instance01 2 157.268
instance01 3 157.226
instance01 4 157.147
instance01 5 157.169
instance01 6 157.157
instance02 1 37.2954
instance02 2 37.491
instance02 3 37.0043
instance02 4 37.5271
instance02 5 37.8565
instance02 6 37.577
instance03 1 35.336
instance03 2 34.8604
instance03 3 34.9698
instance03 4 35.3822
instance03 5 35
instance03 6 34.1351
instance04 1 8.58922
instance04 2 8.6211
instance04 3 8.39174
instance04 4 8.47844
instance04 5 8.47064
instance04 6 8.3078
instance05 1 14.6988
instance05 2 14.482
instance05 3 14.7917
instance05 4 14.5438
instance05 5 14.2615
instance05 6 14.5003
instance06 1 3.54557
instance06 2 3.65659
instance06 3 3.63204
instance06 4 3.81995
instance06 5 3.59616
instance06 6 3.65099
instance07 1 10.9323
instance07 2 10.7194
instance07 3 10.7226
instance07 4 10.5561
instance07 5 10.8069
instance07 6 10.7542
instance08 1 26.4856
instance08 2 25.7974
instance08 3 25.582
instance08 4 25.881
instance08 5 26.1251
instance08 6 25.9593
